feature_name,entropy,entropy_score,peak_cell_types,max_average_cell_type_expression,peak_tissue,max_average_tissue_expression,tau_score,tau_TRA_0.85,entropy_TRA_0.85,tau_TRA_0.9,entropy_TRA_0.9,tau_TRA_0.95,entropy_TRA_0.95
Birc2,6.5501725165971365,0.1009182033027041,"Sertoli cell,ependymal cell,leptomeningeal cell,mural cell,native cell,oligodendrocyte,pericyte,pituitary gland cell,tanycyte",1.0597388744354248,hypothalamus,0.6489952206611633,0.6964731,False,False,False,False,False,False
Birc3,5.913461786225864,0.1883136155591199,"Schwann cell,endothelial cell,kidney cell,mast cell,mesenchymal stem cell,skeletal muscle satellite cell,stromal cell",1.5529309511184692,limb muscle,1.3875499963760376,0.80012655,False,False,False,False,False,False
Yap1,6.190050476718864,0.150348835827824,"astrocyte,leptomeningeal cell,mesangial cell,native cell",1.2027548551559448,mesonephros,0.7521858811378479,0.7393565,False,False,False,False,False,False
Cfap300,3.230316078591264,0.5566042914929497,"astrocyte,ependymal cell,mural cell,native cell,neuron,pituitary gland cell,tanycyte",0.5651000142097473,hypothalamus,0.4322231113910675,0.95051646,True,True,True,True,True,True
Cep126,3.884230921458947,0.4668474293152284,"GABAergic neuron,ependymal cell,glutamatergic neuron,leptomeningeal cell,mural cell,native cell,neuron,oligodendrocyte precursor cell,pituitary gland cell,tanycyte",0.9091944694519043,"hypothalamus,primary motor cortex",0.8334810137748718,0.93096393,True,True,True,True,False,False
Trpc6,4.574981352453728,0.3720344855348019,"GABAergic neuron,fibroblast of lung,glutamatergic neuron,mural cell,neuron,pancreatic stellate cell,pericyte,pituitary gland cell,pulmonary interstitial fibroblast",1.0654003620147705,"hypothalamus,primary motor cortex",0.5463655591011047,0.9054546,True,True,True,False,False,False
Pgr,5.292706230340436,0.2735190081012452,"GABAergic neuron,glutamatergic neuron,kidney collecting duct principal cell,luminal epithelial cell of mammary gland,lung neuroendocrine cell,neuron,pituitary gland cell,podocyte (sensu Diptera)",0.7220174670219421,"hypothalamus,primary motor cortex",0.6480400562286377,0.85465884,True,False,False,False,False,False
Arhgap42,1.9356315428092947,0.7343137022966483,"leptomeningeal cell,mural cell,pericyte",9.887386322021484,primary motor cortex,0.6073431372642517,0.9746721,True,True,True,True,True,True
Cntn5,1.8629320685324733,0.7442924889295398,"GABAergic neuron,glutamatergic neuron,neuron",15.972367286682129,"hypothalamus,primary motor cortex",13.98102855682373,0.983065,True,True,True,True,True,True
Jrkl,6.444962473897116,0.1153594159549894,"ependymal cell,microglial cell,mural cell,native cell,neuron,pituitary gland cell,tanycyte",0.3681309223175049,hypothalamus,0.2408713847398758,0.7279796,False,False,False,False,False,False
Ccdc82,5.636282851275103,0.2263594127057937,"ependymal cell,microglial cell,mural cell,neuron,pericyte,pituitary gland cell,tanycyte",1.5668470859527588,hypothalamus,1.0516687631607056,0.8341655,False,False,False,False,False,False
Maml2,3.3091666843588445,0.5457811957463026,"astrocyte,ependymal cell,leptomeningeal cell,microglial cell,mural cell,native cell,oligodendrocyte precursor cell,pericyte,pituitary gland cell,tanycyte",11.77053165435791,"hypothalamus,primary motor cortex",2.0087413787841797,0.94506323,True,True,True,True,False,False
Gm17571,2.7307391545384685,0.6251766103636041,"astrocyte,leptomeningeal cell,native cell,oligodendrocyte precursor cell,pericyte,tanycyte",0.165053129196167,"hypothalamus,primary motor cortex",0.01028765831142664,0.97041845,True,True,True,True,True,True
Mtmr2,4.130352541386299,0.4330645834909949,oligodendrocyte,3.353367805480957,"mesonephros,primary motor cortex",0.4619636833667755,0.9324016,True,True,True,True,False,False
Cep57,6.502237512148655,0.1074977994606726,"erythroblast,granulocytopoietic cell,immature NK T cell,mesothelial cell,native cell,neural progenitor cell,thymocyte",1.2064279317855835,"gonad,mesonephros",0.7460135221481323,0.7343814,False,False,False,False,False,False
Fam76b,6.456420646028199,0.1137866582970226,"leptomeningeal cell,macrophage,microglial cell,mural cell,native cell,neural progenitor cell,pericyte,pituitary gland cell,tanycyte",0.8663297295570374,"diencephalon,hypothalamus",0.5204790234565735,0.7148692,False,False,False,False,False,False
Sesn3,5.678116599201576,0.2206172797844071,"GABAergic neuron,astrocyte,ependymal cell,glioblast,interstitial cell of ovary,mural cell,native cell,neuron,oligodendrocyte precursor cell,pituitary gland cell,tanycyte",1.720447301864624,hypothalamus,1.1332100629806519,0.788813,False,False,False,False,False,False
Endod1,5.489585433707446,0.2464952148428193,"enterocyte of epithelium of large intestine,epithelial cell of large intestine,oligodendrocyte",2.800196886062622,large intestine,2.019927740097046,0.8695872,True,False,False,False,False,False
Kdm4d,3.78911178881565,0.4799035557699942,"GABAergic neuron,ependymal cell,leptomeningeal cell,microglial cell,mural cell,neuron,oligodendrocyte,pericyte,pituitary gland cell,tanycyte",0.20983362197875977,"hypothalamus,primary motor cortex",0.16795694828033447,0.92073834,True,True,True,True,False,False
Cwc15,7.025500918774181,0.035674255487936,"double negative thymocyte,immature T cell,oocyte,promonocyte",2.927257776260376,ovary,2.1832222938537598,0.535477,False,False,False,False,False,False
Amotl1,5.908697866796964,0.1889675148615587,"chondrocyte,endocardial cell,endothelial cell of hepatic sinusoid,keratinocyte stem cell,kidney capillary endothelial cell,kidney cortex artery cell,mesangial cell,neuroendocrine cell,prostate gland microvascular endothelial cell,smooth muscle cell of trachea",2.073932409286499,"skin of body,trachea",1.2175607681274414,0.7670746,False,False,False,False,False,False
Fut4,5.062349572087074,0.3051379429703397,"epithelial cell of large intestine,intestinal crypt stem cell,large intestine goblet cell,late pro-B cell,urethra urothelial cell",0.22114823758602142,"large intestine,urethra",0.1126507818698883,0.88858527,True,True,False,False,False,False
